iter	Passed	Remaining
0	2	211
1	4	226
2	6	218
3	8	200
4	10	191
5	11	184
6	13	177
7	15	173
8	17	171
9	18	168
10	20	167
11	22	164
12	24	161
13	25	158
14	27	154
15	29	152
16	30	150
17	32	147
18	36	156
19	38	154
20	41	155
21	43	152
22	44	149
23	46	146
24	48	144
25	50	142
26	51	140
27	53	137
28	55	135
29	57	133
30	59	131
31	60	129
32	62	127
33	65	126
34	66	124
35	68	121
36	70	119
37	71	117
38	73	115
39	75	113
40	77	111
41	78	107
42	80	106
43	81	104
44	83	102
45	85	100
46	87	98
47	88	96
48	90	94
49	92	92
50	94	90
51	95	88
52	97	86
53	98	84
54	100	81
55	101	80
56	103	78
57	105	76
58	107	74
59	108	72
60	110	70
61	112	68
62	114	67
63	115	65
64	117	63
65	119	61
66	120	59
67	122	57
68	125	56
69	128	54
70	130	53
71	131	51
72	133	49
73	135	47
74	136	45
75	138	43
76	140	41
77	141	39
78	143	38
79	144	36
80	146	34
81	148	32
82	150	30
83	151	28
84	153	27
85	155	25
86	156	23
87	158	21
88	159	19
89	161	17
90	163	16
91	165	14
92	167	12
93	168	10
94	170	8
95	172	7
96	173	5
97	175	3
98	177	1
99	178	0
